City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-09-21 19:57:16,73.5069,80.5464,33.82,73,100,1.34
1,Fort Frances,CA,2021-09-21 19:52:32,48.5999,-93.4003,61.16,57,75,1.01
2,Olenino,RU,2021-09-21 19:57:17,56.2092,33.4889,39.2,98,100,8.28
3,Atuona,PF,2021-09-21 19:57:17,-9.8,-139.0333,77.9,71,30,23.06
4,Itarema,BR,2021-09-21 19:57:02,-2.9248,-39.9167,80.76,70,16,17.67
5,Lumby,CA,2021-09-21 19:57:17,50.2498,-118.969,67.73,29,6,3.29
6,Ushuaia,AR,2021-09-21 19:57:13,-54.8,-68.3,51.42,76,75,8.05
7,Tautira,PF,2021-09-21 19:57:18,-17.7333,-149.15,80.62,74,6,9.4
8,Sitka,US,2021-09-21 19:57:18,57.0531,-135.33,55.29,88,90,13.8
9,Butaritari,KI,2021-09-21 19:57:19,3.0707,172.7902,83.16,70,93,15.75
10,Hermanus,ZA,2021-09-21 19:57:19,-34.4187,19.2345,56.89,79,11,11.5
11,Bonthe,SL,2021-09-21 19:57:20,7.5264,-12.505,79.27,83,100,6.2
12,Carauari,BR,2021-09-21 19:57:21,-4.8828,-66.8958,80.42,77,99,3.71
13,Lanzhou,CN,2021-09-21 19:57:21,36.0564,103.7922,60.08,55,100,2.68
14,Beringovskiy,RU,2021-09-21 19:57:22,63.05,179.3167,37.62,98,100,11.41
15,Guna,IN,2021-09-21 19:57:22,24.65,77.3167,73.89,95,55,6.02
16,Caravelas,BR,2021-09-21 19:57:22,-17.7125,-39.2481,76.84,80,6,12.24
17,Gornyy,RU,2021-09-21 19:57:23,55.1153,83.9059,36.79,98,100,8.12
18,Bluff,NZ,2021-09-21 19:57:23,-46.6,168.3333,44.8,69,60,19.84
19,Puerto Ayora,EC,2021-09-21 19:57:23,-0.7393,-90.3518,76.96,83,74,7.0
20,Richards Bay,ZA,2021-09-21 19:57:24,-28.783,32.0377,63.93,71,94,9.66
21,Lulea,SE,2021-09-21 19:52:28,65.5842,22.1547,44.67,76,75,9.22
22,Constitucion,CL,2021-09-21 19:57:24,-35.3333,-72.4167,56.84,77,17,10.54
23,Port Alfred,ZA,2021-09-21 19:57:25,-33.5906,26.891,57.09,75,98,1.32
24,Karakol,KG,2021-09-21 19:57:25,42.4907,78.3936,51.17,54,1,3.04
25,Mount Isa,AU,2021-09-21 19:57:25,-20.7333,139.5,55.17,19,37,17.27
26,Marinette,US,2021-09-21 19:57:26,45.1,-87.6307,69.31,50,100,14.83
27,Rikitea,PF,2021-09-21 19:53:25,-23.1203,-134.9692,73.76,71,1,13.8
28,Kavieng,PG,2021-09-21 19:57:26,-2.5744,150.7967,81.03,77,99,9.64
29,Chicla,PE,2021-09-21 19:57:26,-11.705,-76.2686,51.69,56,87,7.2
30,Konya,TR,2021-09-21 19:57:27,38.1667,32.5,66.22,44,4,8.55
31,Thompson,CA,2021-09-21 19:57:27,55.7435,-97.8558,44.76,65,75,4.61
32,Oyem,GA,2021-09-21 19:57:27,1.5995,11.5793,68.04,98,17,2.89
33,Ilo,PE,2021-09-21 19:57:28,-17.6394,-71.3375,63.46,72,0,11.5
34,Waingapu,ID,2021-09-21 19:57:28,-9.6567,120.2641,77.41,83,51,11.18
35,Provideniya,RU,2021-09-21 19:57:28,64.3833,-173.3,32.11,69,75,13.42
36,Sangmelima,CM,2021-09-21 19:57:29,2.9333,11.9833,68.09,98,11,3.38
37,Mataura,NZ,2021-09-21 19:57:29,-46.1927,168.8643,44.47,89,28,1.57
38,Bengkulu,ID,2021-09-21 19:52:47,-3.8004,102.2655,74.59,91,100,4.29
39,Longyearbyen,SJ,2021-09-21 19:57:30,78.2186,15.6401,42.64,93,75,1.14
40,Busselton,AU,2021-09-21 19:57:30,-33.65,115.3333,47.08,74,0,4.09
41,Faanui,PF,2021-09-21 19:57:30,-16.4833,-151.75,78.33,72,11,8.84
42,Rockhampton,AU,2021-09-21 19:57:31,-23.3833,150.5,51.69,35,0,8.05
43,Mar Del Plata,AR,2021-09-21 19:57:31,-38.0023,-57.5575,52.54,59,0,8.12
44,Hobart,AU,2021-09-21 19:57:31,-42.8794,147.3294,55.26,79,42,17.27
45,Mahebourg,MU,2021-09-21 19:57:32,-20.4081,57.7,70.09,68,40,13.8
46,Thunder Bay,CA,2021-09-21 19:57:32,48.4001,-89.3168,62.56,53,75,12.66
47,Phan Thiet,VN,2021-09-21 19:55:08,10.9333,108.1,77.31,87,100,7.23
48,East London,ZA,2021-09-21 19:52:39,-33.0153,27.9116,60.42,59,100,1.21
49,Mayumba,GA,2021-09-21 19:57:33,-3.432,10.6554,75.9,85,99,2.46
50,Requena,ES,2021-09-21 19:57:33,39.4883,-1.1004,60.58,79,79,9.8
51,Waipawa,NZ,2021-09-21 19:57:33,-41.4122,175.5153,53.46,84,100,6.2
52,Hasaki,JP,2021-09-21 19:57:34,35.7333,140.8333,70.2,87,100,0.78
53,Bubaque,GW,2021-09-21 19:57:34,11.2833,-15.8333,81.97,80,100,8.59
54,Banjar,ID,2021-09-21 19:57:35,-8.19,114.9675,80.46,88,99,2.13
55,Cidreira,BR,2021-09-21 19:57:35,-30.1811,-50.2056,60.58,62,66,17.83
56,Sabha,LY,2021-09-21 19:57:35,27.0377,14.4283,87.76,14,0,9.13
57,Kapaa,US,2021-09-21 19:57:36,22.0752,-159.319,81.12,59,27,3.0
58,Maniitsoq,GL,2021-09-21 19:57:36,65.4167,-52.9,33.91,66,95,3.47
