City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1,1,Turan,VN,9/21/2021 23:23,16.0678,108.2208,78.85,94,75,1.14
2,2,Hithadhoo,MV,9/21/2021 23:20,-0.6,73.0833,82.67,76,100,15.95
5,5,Sao Filipe,CV,9/21/2021 23:19,14.8961,-24.4956,79.27,81,22,7.0
8,8,Tuy Hoa,VN,9/21/2021 23:24,13.0833,109.3,75.96,91,89,4.05
9,9,Kapaa,US,9/21/2021 23:21,22.0752,-159.319,84.18,69,1,3.0
19,19,Oum Hadjer,TD,9/21/2021 23:24,13.2954,19.6966,83.95,63,95,8.25
21,21,Ayia Galini,GR,9/21/2021 23:24,35.1,24.6833,75.74,61,31,1.66
28,28,Karratha,AU,9/21/2021 23:21,-20.7377,116.8463,78.04,20,99,23.13
33,33,Tarauaca,BR,9/21/2021 23:22,-8.1614,-70.7656,80.69,68,70,1.7
36,36,Lorengau,PG,9/21/2021 23:21,-2.0226,147.2712,83.28,72,100,6.55
37,37,Bandarbeyla,SO,9/21/2021 23:23,9.4942,50.8122,79.05,71,100,20.18
40,40,Kirakira,SB,9/21/2021 23:24,-10.4544,161.9205,83.7,72,48,5.48
42,42,Marzuq,YE,9/21/2021 23:21,14.4,46.4667,78.84,57,72,1.88
45,45,Namatanai,PG,9/21/2021 23:24,-3.6667,152.4333,82.38,75,100,5.93
49,49,Kahului,US,9/21/2021 23:24,20.8947,-156.47,84.22,55,40,24.16
53,53,Vaini,TO,9/21/2021 23:19,-21.2,-175.2,78.96,73,20,10.36
54,54,Finschhafen,PG,9/21/2021 23:24,-6.6024,147.8681,81.9,73,100,8.46
58,58,Nicoya,CR,9/21/2021 23:24,10.1483,-85.45200000000001,80.15,85,74,1.79
59,59,Avarua,CK,9/21/2021 23:22,-21.2078,-159.775,78.85,61,75,5.75
63,63,Kavaratti,IN,9/21/2021 23:22,10.5669,72.642,81.64,78,37,15.77
64,64,Butaritari,KI,9/21/2021 23:24,3.0707,172.7902,82.9,68,83,12.73
65,65,Victoria,HK,9/21/2021 23:23,22.2855,114.1577,84.33,85,98,4.52
68,68,North Bend,US,9/21/2021 23:24,43.4065,-124.2243,88.95,33,1,12.66
70,70,Gat,IL,9/21/2021 23:21,31.61,34.7642,78.4,72,0,2.51
71,71,Beira,MZ,9/21/2021 23:24,-19.8436,34.8389,75.29,73,40,9.22
