City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Thompson,CA,55.7435,-97.8558,62.04,62,89,11.52,overcast clouds
79,Geraldton,AU,-28.7667,114.6,50.41,93,0,5.75,mist
80,Tucurui,BR,-3.7661,-49.6725,94.73,33,92,5.41,overcast clouds
81,Naze,JP,28.3667,129.4833,75.34,71,0,10.04,clear sky
82,Cayenne,GF,4.9333,-52.3333,86.04,78,0,4.0,clear sky
83,Nikolskoye,RU,59.7035,30.7861,47.01,93,99,9.22,overcast clouds
84,Palmas,BR,-10.2128,-48.3603,82.27,69,40,3.44,scattered clouds
85,Rawson,AR,-43.3002,-65.1023,69.89,29,9,10.16,clear sky
86,Beterou,BJ,9.1992,2.2586,73.36,92,100,2.06,light rain
87,Hermanus,ZA,-34.4187,19.2345,57.9,89,92,11.72,overcast clouds
88,Yellowknife,CA,62.456,-114.3525,46.92,87,75,4.61,broken clouds
89,Guerrero Negro,MX,27.9769,-114.0611,87.4,48,3,7.38,clear sky
90,Puerto Ayora,EC,-0.7393,-90.3518,70.56,83,82,11.03,broken clouds
91,Grand Gaube,MU,-20.0064,57.6608,71.38,78,59,5.99,light rain
92,Maniitsoq,GL,65.4167,-52.9,33.39,64,31,11.32,scattered clouds
93,Qaanaaq,GL,77.484,-69.3632,16.2,62,97,6.71,overcast clouds
94,Kununurra,AU,-15.7667,128.7333,49.98,76,45,0.0,scattered clouds
95,Provideniya,RU,64.3833,-173.3,32.11,69,90,6.71,light snow
96,New Norfolk,AU,-42.7826,147.0587,49.5,74,94,5.01,overcast clouds
97,Norden,DE,53.6,7.2,55.38,85,7,16.98,clear sky
98,Ugoofaaru,MV,5.6667,73.0,82.9,76,80,17.38,broken clouds
99,Valparaiso,CL,-33.0393,-71.6273,79.03,40,0,10.36,clear sky
100,Carnarvon,AU,-24.8667,113.6333,66.4,80,0,22.59,clear sky
101,Tokur,RU,53.1333,132.9,32.47,89,0,2.48,clear sky
102,El Cobre,CU,20.0489,-75.9469,87.24,66,40,8.05,scattered clouds
103,Corowa,AU,-36.0333,146.3833,46.72,95,0,4.63,clear sky
104,Saldanha,ZA,-33.0117,17.9442,57.11,92,100,3.71,overcast clouds
105,Port Elizabeth,ZA,-33.918,25.5701,62.1,75,43,13.85,scattered clouds
106,Katsuura,JP,35.1333,140.3,73.51,79,100,13.02,overcast clouds
107,Pingliang,CN,35.5392,106.6861,60.4,94,100,5.14,moderate rain
108,Shache,CN,38.4167,77.2406,66.67,24,0,2.73,clear sky
109,Port Hardy,CA,50.6996,-127.4199,53.98,75,100,5.7,overcast clouds
110,Chapayeve,UA,49.3662,35.8749,48.02,85,99,4.65,overcast clouds
111,Totskoye,RU,52.5248,52.7623,55.45,56,100,18.97,light rain
112,Olafsvik,IS,64.8945,-23.7142,42.69,75,99,18.99,overcast clouds
113,Tanout,NE,14.9709,8.8879,91.45,25,85,6.22,overcast clouds
114,Redmond,US,47.674,-122.1215,73.33,65,99,1.01,overcast clouds
115,Dandong,CN,40.1292,124.3947,53.74,92,34,3.67,scattered clouds
116,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,56,75,5.75,broken clouds
117,Brazzaville,CG,-4.2658,15.2832,79.84,66,79,3.49,broken clouds
118,Cherskiy,RU,68.75,161.3,29.89,91,82,6.49,broken clouds
119,Aljezur,PT,37.3191,-8.8033,63.0,91,39,4.16,scattered clouds
120,Bethel,US,41.3712,-73.414,77.72,85,95,1.99,overcast clouds
121,Burnie,AU,-41.0667,145.9167,48.9,79,100,17.87,overcast clouds
122,Hualmay,PE,-11.0964,-77.6139,66.27,73,30,10.36,scattered clouds
123,Sterling,US,39.0062,-77.4286,76.06,64,40,1.99,scattered clouds
124,Versalles,FR,48.8,2.1333,61.97,83,0,4.61,clear sky
125,Hami,CN,42.8,93.45,65.03,20,29,4.94,scattered clouds
126,Luanda,AO,-8.8368,13.2343,73.4,83,20,5.75,few clouds
127,Mahebourg,MU,-20.4081,57.7,71.26,85,54,14.63,light rain
128,Inuvik,CA,68.3499,-133.7218,33.84,76,81,5.53,broken clouds
129,Serowe,BW,-22.3833,26.7167,60.84,51,0,7.43,clear sky
130,Axim,GH,4.8699,-2.2405,76.71,92,68,5.39,light rain
131,Panino,RU,51.6467,40.1346,46.17,82,81,5.39,broken clouds
132,Norman Wells,CA,65.282,-126.8329,37.44,76,100,7.0,overcast clouds
133,Souillac,MU,-20.5167,57.5167,71.37,84,73,14.29,light rain
134,Assiniboia,CA,49.6334,-105.9845,65.7,30,100,14.05,overcast clouds
135,Linguere,SN,15.3953,-15.1193,86.0,57,95,8.63,overcast clouds
136,Bambous Virieux,MU,-20.3428,57.7575,71.22,85,54,14.47,light rain
137,Pacific Grove,US,36.6177,-121.9166,95.61,78,1,8.01,clear sky
138,Barrow,US,71.2906,-156.7887,28.42,86,90,0.0,overcast clouds
139,Maine-Soroa,NE,13.2114,12.0241,84.51,48,100,5.26,overcast clouds
140,Faya,SA,18.3851,42.4509,68.97,39,54,2.57,broken clouds
141,Kodiak,US,57.79,-152.4072,44.11,76,90,21.85,light rain
142,Hervey Bay,AU,-25.2986,152.8535,62.76,73,1,0.78,clear sky
143,Tessalit,ML,20.1986,1.0114,96.85,16,84,6.13,broken clouds
144,Madimba,TZ,-10.4,40.3333,73.53,87,22,9.28,few clouds
145,Tukrah,LY,32.5341,20.5791,74.89,66,0,17.47,clear sky
146,Kutum,SD,14.2,24.6667,81.84,22,15,7.45,few clouds
147,Florianopolis,BR,-27.6146,-48.5012,63.63,52,40,10.36,scattered clouds
148,Castrillon,ES,43.3979,-6.7922,64.94,99,68,3.15,broken clouds
149,Barra Patuca,HN,15.8,-84.2833,84.29,69,20,9.84,few clouds
150,Lasa,IT,46.6166,10.7002,51.03,59,6,4.5,clear sky
151,Lancaster,US,40.2504,-76.2499,71.56,81,20,0.0,few clouds
152,Saanen,CH,46.4896,7.2596,55.33,94,13,3.13,few clouds
153,Mersin,TR,36.862,34.6509,67.35,55,36,6.85,scattered clouds
154,Vanimo,PG,-2.6741,141.3028,76.71,90,92,5.32,overcast clouds
155,Fort Portal,UG,0.6617,30.2748,61.03,86,84,2.93,broken clouds
156,Nome,US,64.5011,-165.4064,37.17,51,1,0.0,clear sky
157,Kavaratti,IN,10.5669,72.642,81.14,80,86,14.92,overcast clouds
158,Bassar,TG,9.25,0.7833,71.53,90,56,1.86,light rain
159,Senanga,ZM,-16.1167,23.2667,70.93,26,8,6.67,clear sky
160,Mount Gambier,AU,-37.8333,140.7667,49.91,93,90,16.11,overcast clouds
161,Lebu,CL,-37.6167,-73.65,55.27,70,2,13.35,clear sky
162,Panacan,PH,9.2463,118.4082,78.53,80,98,4.16,overcast clouds
163,Kulhudhuffushi,MV,6.6221,73.07,82.72,77,33,17.58,scattered clouds
164,Sitka,US,57.0531,-135.33,55.29,76,90,6.91,mist
165,Almeria,ES,37.1667,-2.3333,71.76,80,91,10.25,overcast clouds
166,Rehoboth,NA,-23.3167,17.0833,68.18,10,0,6.87,clear sky
167,Morro Bay,US,35.3658,-120.8499,98.38,55,85,5.99,overcast clouds
168,Tasiilaq,GL,65.6145,-37.6368,37.56,61,86,3.76,overcast clouds
169,Diamantino,BR,-14.4086,-56.4461,102.54,15,35,4.27,scattered clouds
170,Port Lincoln,AU,-34.7333,135.8667,55.6,77,48,14.9,scattered clouds
171,Troy,US,42.6056,-83.1499,54.64,94,90,5.01,mist
172,Tiksi,RU,71.6872,128.8694,38.8,74,100,21.61,overcast clouds
173,Airai,TL,-8.9266,125.4092,57.51,51,100,2.21,overcast clouds
174,Erenhot,CN,43.6475,111.9767,61.45,65,77,4.79,broken clouds
175,Santa Rosa Del Sur,CO,7.9644,-74.0544,76.39,86,100,1.16,overcast clouds
176,Suifenhe,CN,44.4,131.1667,41.58,91,1,3.62,clear sky
177,Andijon,UZ,40.7821,72.3442,65.55,72,0,2.3,clear sky
178,Zhigansk,RU,66.7697,123.3711,37.36,82,92,5.14,overcast clouds
