City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Vasai,IN,80.69,overcast clouds,19.47,72.8,Go Firne
394,Colares,PT,76.68,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
397,Ruwi,OM,89.62,few clouds,23.5996,58.5507,Al Falaj Hotel
400,Xiamen,CN,82.45,few clouds,24.4798,118.0819,Xiamen Dongchen Hotel
401,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
404,Malanje,AO,78.53,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
407,Jiazi,CN,81.41,overcast clouds,22.8779,116.06700000000001,Hotel Jin Hao
408,Matara,LK,79.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
409,Beba,CU,80.87,light rain,22.4437,-79.7253,Hostal Cubaustria
413,Banda Aceh,ID,78.6,overcast clouds,5.5577,95.3222,Sulthan Hotel International
414,Srandakan,ID,76.46,overcast clouds,-7.9386,110.2506,Puri Brata
415,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
420,Najran,SA,83.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
425,Uige,AO,77.02,broken clouds,-7.6087,15.0613,Hotel Catraio
426,Shimoda,JP,76.89,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
432,Brownsville,US,82.4,overcast clouds,25.9018,-97.4975,University Inn & Suites
437,Kapoeta,SS,82.98,few clouds,4.7717,33.5903,Eastgate Hotel
440,San Policarpo,PH,77.99,overcast clouds,12.1791,125.5072,Manong Aklan Resort
441,Karratha,AU,79.03,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
442,Shenzhen,CN,85.87,light rain,22.5455,114.0683,Shenzhen Shanghai Hotel
443,Palauig,PH,80.56,overcast clouds,15.435,119.9045,Alperi Botique Resort
448,Pemangkat,ID,79.03,overcast clouds,1.1667,108.9667,Ramah Kost KITA
452,Gopalganj,IN,77.38,clear sky,26.4667,84.4333,SPOT ON 62129 Hotel Shabnam SPOT
454,Bulalacao,PH,80.22,overcast clouds,12.3254,121.3435,By The Sea Hotels
455,Kikwit,CD,79.99,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
457,Tutoia,BR,87.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
461,Oistins,BB,89.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
462,San Buenaventura,MX,81.12,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
467,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
470,Santa Catalina,PH,76.75,moderate rain,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
475,Romita,MX,76.42,clear sky,20.8667,-101.5167,HOTEL RESTER
478,Nuevitas,CU,86.92,clear sky,21.5453,-77.2644,Hotel Caonaba
486,Mankera,PK,88.48,clear sky,31.3866,71.4407,Haider Wood Supplier
488,Lakatoro,VU,76.89,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
489,Sibolga,ID,76.26,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
500,Punta Cardon,VE,88.77,overcast clouds,11.6581,-70.215,Bambuda hotel
502,Coahuayana,MX,87.96,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
504,Dhanaura,IN,77.95,overcast clouds,28.9667,78.25,Pooja Sweets
511,Celestun,MX,86.18,broken clouds,20.8667,-90.4,Posada Lilia
518,Iralaya,HN,87.89,clear sky,15.0,-83.2333,Iglesia morava renovada
521,Ojinaga,MX,84.42,clear sky,29.5667,-104.4167,Suites Las Palmas
523,Bushehr,IR,89.69,clear sky,28.9684,50.8385,Yas Hotel
524,Kuntaur,GM,85.39,scattered clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
526,Great Falls,US,78.93,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
527,Charleston,US,89.1,thunderstorm,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
529,Kalmunai,LK,79.88,overcast clouds,7.4167,81.8167,VS Villa
532,Pemba,MZ,77.7,scattered clouds,-12.974,40.5178,Guesthouse Samotina
533,Ewa Beach,US,81.7,broken clouds,21.3156,-158.0072,Uncle Junior Robert
536,La Libertad,EC,76.66,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
538,Broome,US,78.1,overcast clouds,42.2506,-75.833,Chenango Valley State Park
551,Kudahuvadhoo,MV,83.12,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
553,Sinnamary,GF,83.93,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
554,Lorengau,PG,79.81,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
555,Sechura,PE,78.33,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
563,Moengo,SR,81.75,overcast clouds,5.6167,-54.4,Masanga
566,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
572,Klamath Falls,US,75.87,scattered clouds,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
573,Tahoua,NE,87.78,clear sky,14.8888,5.2692,Bungalows Guesthouse
574,Bolobo,CD,76.95,broken clouds,-2.1667,16.2333,Hotel de Stephen
576,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
578,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
580,Melville,US,81.95,overcast clouds,40.7934,-73.4151,Marriott Melville Long Island
581,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
590,Basco,PH,83.88,few clouds,20.4487,121.9702,Nathaniel's Lodge
591,Pangai,TO,75.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
593,Daguit,PH,75.56,overcast clouds,14.1895,122.7266,Babe
594,Muli,MV,82.83,light rain,2.9167,73.5667,Medhufushi Island Resort
596,Kinshasa,CD,84.58,light rain,-4.3246,15.3215,Flat Hotel Alhdeef
599,Mahishadal,IN,78.31,overcast clouds,22.1833,87.9833,Mishra machinery
604,Wajir,KE,85.96,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
611,Miranda,CO,83.64,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
612,La Brea,HN,89.11,scattered clouds,15.8,-85.9667,Hotel reynita
616,Meadow Lake,US,79.39,clear sky,34.8014,-106.5436,TumbleWeed RV Park
618,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
620,Brenham,US,84.81,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
626,Morondava,MG,75.47,clear sky,-20.2833,44.2833,La Case Bambou
628,Dayong,CN,82.08,light rain,25.0209,118.2898,Haiyue Express Hotel
630,Salinopolis,BR,84.02,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
631,Clarksburg,US,84.22,scattered clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
633,Piacabucu,BR,80.8,clear sky,-10.4056,-36.4344,Piaçabuçu News
636,Camiri,BO,82.18,broken clouds,-20.05,-63.5167,J R Hotel
645,Nantucket,US,77.34,few clouds,41.2835,-70.0995,Jared Coffin House
646,Stonewall,CA,75.97,clear sky,50.1344,-97.3268,Rockwood Motor Inn & Motel
651,Flagstaff,US,80.6,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
652,Posadas,AR,75.18,clear sky,-27.3671,-55.8961,Hotel Posadas
655,Aracuai,BR,89.53,few clouds,-16.8497,-42.0703,Village das Minas Hotel
660,Grand Forks,US,76.68,smoke,47.9417,-97.4337,Warrior Inn
661,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
662,Luau,AO,77.61,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
664,Kerrville,US,81.63,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
669,Maceio,BR,89.04,clear sky,-9.6658,-35.7353,Poutur Pousada
670,Bharatpur,IN,82.09,overcast clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
673,Sao Gabriel Da Cachoeira,BR,82.2,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
677,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
682,Cabangahan,PH,78.1,overcast clouds,9.0781,122.9469,Centralle District Beach Resort
685,Ageo,JP,80.49,overcast clouds,35.9697,139.5886,Ageo Tobu Hotel
686,Catuday,PH,78.84,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
687,Mana,GF,83.64,broken clouds,5.6592,-53.7767,LE SAMANA
688,Sragen,ID,77.09,broken clouds,-7.4264,111.0222,Graha Hotel Sragen
690,Tecoanapa,MX,86.47,clear sky,16.5167,-98.75,Hotel Manglares
692,Tacarigua,VE,86.04,broken clouds,10.0862,-67.9198,Posada Tacarigua C.A.
